party,gosh
הליכוד,1
התחיה-צומת,1
מפד"ל,1
מורשה,1
כ"ך,1
אומץ,1
תמ"י,1
העבודה,-1
ר"צ,-1
חד"ש הפנתרים השחורים,-1
שינוי,0
יחד,0
ש"ס,2
אגודת ישראל,2
הרשימה המתקדמת לשלום,-2
מד"ע,-2
חד"ש,-2
צומת,1
התחייה,1
מולדת,1
מפ"ם,-1
דגל התורה,2
הליכוד-גשר-צומת,1
ישראל בעלייה,0
הדרך השלישית,0
מד"ע-רע"מ,-2
חד"ש-בל"ד,-2
ישראל אחת,-1
עם אחד,-1
 ישראל ביתנו,1
האיחוד הלאומי,1
מפלגת המרכז,0
בל"ד,-2
רע"מ,-2
עבודה-מימד,-1
מרצ-הבחירה הדמוקרטית-שח"ר,-1
חד"ש-תע"ל,-2
קדימה,0
האיחוד הלאומי - המפד"ל,1
מרצ - יחד,-1
רע"מ-תע"ל,-2
יהדות התורה,2
הליכוד - ישראל ביתנו,1
הבית היהודי,1
יש עתיד,0
התנועה,0
המחנה הציוני,-1
התנועה הירוקה,-1
סיעה דרוזית ישראלית,9
מפא"י,9
מפ"ם,9
חזית דתית מאוחדת,9
חרות,9
ציונים הכלליים,9
ספרדים ועדות מזרח,9
מק"י,9
רשימה דמוקרטית של נצרת,9
רשימת הלוחמים,9
ויצ"ו,9
התאחדות התימנים,9
מפלגה פרוגרסיבית,9
הציונים הכלליים,9
הפועל המזרחי,9
המפלגה הפרוגרסיבית,9
רשימה דמוקרטית לערביי ישראל,9
אגודת ישראל,9
ספרדים ועוד מזרח,9
פועלי אגודת ישראל,9
המזרחי,9
קידמה ועבודה,9
התאחדות התימנים בישראל,9
חקלאות ופיתוח,9
סיעת שמאל,9
קדימה ועבודה,9
אחדות העבודה-פועלי ציון,9
מפד"ל,9
אגודת ישראל-פועלי אגודת ישראל,9
המפלגה הליברלית,9
פא"י,9
שיתוף ואחווה,9
קדימה ופיתוח,9
העבודה,9
גח"ל,9
רפ"י,9
ליברלים עצמאיים,9
רק"ח,9
קידמה ופיתוח,9
העולם הזה-כוח חדש,9
המרכז החופשי,9
סיעה דרוזית ישראלית,9
אחווה יהודית ערבית,9
סיעת יחיד,9
הרשימה הממלכתית,9
הליכוד,1
רצ,-1
מוקד,9
רשימה ערבית לבדואים וכפריים,-2
ד"ש,9
חד"ש,-2
אגו"י,9
פלאטו שרון,9
שלומציון,9
מחנה של"י,9
רע"ם,-2
פאג"י,9
ל"ע,9
החזית הדמוקרטית לשלום ושיוויון,9
תמ"י,9
התחיה,9
תנועה להתחדשות ממלכתית,9
שינוי,0
ר"צ,9
מפלגה דתית לאומית,9
התנועה להתחדשות ציונית חברתית,9
רפ"י-הרשימה הממלכתית,9
מצ"ד,9
התחיה-צומת,9
ש"ס,2
יחד,9
הרשימה המצקדמת לשלום,9
אוגדת ישראל,9
מורשה,9
כ"ך,9
אומץ,9
הרשימה המתקדמת לשלום,9
מורשה-פא"י,9
צומת,9
מולדת,9
דגל התורה,9
המפלגה לקידום הרעיון הציוני,9
מרצ,-1
יהדות התורה,2
יעוד,9
ימין ישראל,1
הליכוד-גשר-צומת,1
ישראל בעליה,9
חד"ש-בל"ד,-2
מד"ע-רע"ם,-2
מפלגת המרכז,0
ישראל ביתנו,1
מרצ - יחד,-1
עבודה - מימד,-1
איחוד לאומי-ישראל ביתנו,1
גשר,1
הדרך החדשה,9
הפלגה הלאומית הערבית,-2
הבחירה הדמוקרטית,-1
תע"ל,-2
העבודה-מימד,-1
מרצ-הבחירה הדמוקרטית-שח"ר,-1
המפד"ל,1
חד"ש-תע"ל,-2
קדימה,0
האיחוד הלאומי-מפד"ל,1
מפלגת גיל,0
מרצ-יחד,-1
רע"ם-תע"ל,-2
הליכוד-אח"י,1
התאחדות הספרדים העולמית שומרי תורה,9
התנועה החדשה מרצ,-1
הבית היהודי,1
הליכוד-ישראל ביתנו,1
יש עתיד,0
התנועה,-1
רע"מ-תע"ל-מד"ע,-2
המחנה הציוני,-1
הרשימה המשתופת,-2
כולנו,0

