government,party,seats,coalition
1,מפא"י,46,1
1,מפ"ם,20,0
1,חזית דתית מאוחדת,16,1
1,חרות,14,0
1,ציונים הכלליים,7,0
1,ספרדים ועדות מזרח,5,1
1,מק"י,4,1
1,רשימה דמוקרטית של נצרת,3,0
1,רשימת הלוחמים,2,1
1,ויצ"ו,1,0
1,התאחדות התימנים,1,0
1,מפלגה פרוגרסיבית,1,0
2,מפא"י,46,1
2,מפ"ם,20,0
2,חזית דתית מאוחדת,16,1
2,חרות,14,0
2,ציונים הכלליים,7,0
2,ספרדים ועדות מזרח,5,1
2,מק"י,4,1
2,רשימה דמוקרטית של נצרת,3,0
2,רשימת הלוחמים,2,1
2,ויצ"ו,1,0
2,התאחדות התימנים,1,0
2,מפלגה פרוגרסיבית,1,0
3,מפא"י,45,1
3,הציונים הכלליים,20,0
3,מפ"ם,15,0
3,הפועל המזרחי,8,1
3,חרות,8,0
3,מק"י,5,0
3,המפלגה הפרוגרסיבית,4,0
3,רשימה דמוקרטית לערביי ישראל,3,1
3,אגודת ישראל,3,1
3,ספרדים ועוד מזרח,2,0
3,פועלי אגודת ישראל,2,1
3,המזרחי,2,1
3,קידמה ועבודה,1,1
3,התאחדות התימנים בישראל,1,0
3,חקלאות ופיתוח,1,1
4,מפא"י,45,1
4,הציונים הכלליים,23,1
4,מפ"ם,12,0
4,הפועל המזרחי,8,1
4,חרות,8,0
4,מק"י,5,0
4,המפלגה הפרוגרסיבית,4,1
4,רשימה דמוקרטית לערביי ישראל,3,1
4,אגודת ישראל,3,0
4,סיעת שמאל,3,0
4,פועלי אגודת ישראל,2,0
4,המזרחי,2,1
4,קדימה ועבודה,1,1
4,חקלאות ופיתוח,1,1
5,מפא"י,47,1
5,הציונים הכלליים,23,1
5,מפ"ם,10,0
5,הפועל המזרחי,8,1
5,חרות,8,0
5,מק"י,5,0
5,המפלגה הפרוגרסיבית,4,1
5,רשימה דמוקרטית לערביי ישראל,3,1
5,סיעת שמאל,3,0
5,אגודת ישראל,3,0
5,פועלי אגודת ישראל,2,0
5,המזרחי,2,1
