Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	upper lid raiser	lid tightener	head up/down	head forward/back	head left/right	head tilt left/right	torso forward/back	torso left/right	torso up/down	torso tilt left/right	brow raise	closed eyes	brow lowerer	head nod	TORSO UP/DOWN FUNCTIONS M	TORSO FORWARD/BACK FUNCTIONS M	TORSO LEFT/RIGHT FUNCTIONS M	TORSO TILT left/right FUNCTIONS M	HEAD NOD FUNCTIONS M	HEAD UP/DOWN FUNCTIONS M	HEAD FORWARD/BACK FUNCTIONS M	HEAD LEFT/RIGHT FUNCTIONS M	HEAD TILT LEFT/RIGHT FUNCTIONS M	BROW RAISE FUNCTIONS M	BROW LOWERER FUNCTIONS M	CLOSED EYES FUNCTIONS M	UPPER LID RAISER FUNCTIONS M	LID TIGHTENER FUNCTIONS M	
00:01:07.897	67.897	00:01:09.257	69.257	00:00:01.360	1.36	b						forward	left x			d		c			COORDINATION	AGREEMENT WITH SPACE							EMPHASIS	EMPHASIS		EMPHASIS	
00:01:13.641	73.641	00:01:14.841	74.841	00:00:01.200	1.2	b																										EMPHASIS	
00:01:15.880	75.88	00:01:16.400	76.4	00:00:00.520	0.52	c					left	forward				b					LISTING							RS	CA			EMPHASIS	
00:01:17.077	77.077	00:01:17.397	77.397	00:00:00.320	0.32	c					left					b												RS	CA			EMPHASIS	
00:01:19.854	79.854	00:01:22.094	82.094	00:00:02.240	2.24	b												b												EMPHASIS		SHARED INFORMATION (NOT QUITE, BUT SHE'S MAKING SURE HE KNOWS WHAT SHE'S TALKING ABOUT...?)	
00:01:22.287	82.287	00:01:22.527	82.527	00:00:00.240	0.24	c		up				back		up						GESTURAL	NF				GESTURAL							GESTURAL	
00:01:23.019	83.019	00:01:23.619	83.619	00:00:00.600	0.6	c		down			right			up		d				GESTURAL					IP BOUNDARY			AGREEMENT WITH SPACE	EMPHASIS			EMPHASIS	
00:01:40.301	100.301	00:01:40.661	100.661	00:00:00.360	0.36	c				left					left	c							AGREEMENT WITH SPACE+CONTRAST				AGREEMENT WITH SPACE		IP BOUNDARY			BREAK	
00:01:42.339	102.339	00:01:42.579	102.579	00:00:00.240	0.24	b				right	left				left								AGREEMENT WITH SPACE+CONTRAST				COGNITIVE + PARANTHETICAL	CONTRAST				EMPHASIS	
00:01:45.879	105.879	00:01:46.599	106.599	00:00:00.720	0.72	b				left	left				left								AGREEMENT WITH SPACE+CONTRAST				AGREEMENT WITH SPACE + CONTRAST	CONTRAST				ASKING FOR CONFIRMATION	
